,episode,role_setting,images,symbol,guess,success,sender_loss,receiver_loss,sender_loss_2,receiver_loss_2
0,1,0,[33812 19881 27123  3448 50285 27391],0,5,False,0.0,0.0,0.0,0.0
1,2,0,[38024 26734 45869 42632 16740 34200],21,2,False,0.0,0.0,0.0,0.0
2,3,0,[20585 49520 17974 28814  8812 14463],43,4,False,0.0,0.0,0.0,0.0
3,4,0,[12001  1089 38221  9579   312  2606],10,2,False,0.0,0.0,0.0,0.0
4,5,0,[ 8694  2046 15749 36002 28837 14667],17,2,False,0.0,0.0,0.0,0.0
5,6,0,[ 3188  1309 24624 12167 15117 38035],32,3,False,0.0,0.0,0.0,0.0
6,7,0,[ 5314 18134 28388 44904 51992 20470],18,2,False,0.0,0.0,0.0,0.0
7,8,0,[17920 28934 15538 37041 23510  6619],45,1,False,0.0,0.0,0.0,0.0
8,9,0,[ 8888 10370 48370 40780  4915 36799],30,4,False,0.0,0.0,0.0,0.0
9,10,0,[19312  4736  9162 35372 44529 41528],29,2,False,0.0,0.0,0.0,0.0
10,11,0,[34624  8916 38221 30730 41619 45246],28,3,False,0.0,0.0,0.0,0.0
11,12,0,[ 8334  3303 40829 50821 10980 41631],15,2,False,0.0,0.0,0.0,0.0
12,13,0,[10935 30369  4628 46938 49094 32652],45,2,False,0.0,0.0,0.0,0.0
13,14,0,[18557  5550 20286 39303 43516 32807],3,2,False,0.0,0.0,0.0,0.0
14,15,0,[22809 49874 17494 21677 45535 25628],8,0,False,0.0,0.0,0.0,0.0
15,16,0,[32546 49364  8913  5548 41529 18033],2,3,True,3.9164950847625732,1.7918449640274048,3.910106897354126,1.7918834686279297
16,17,0,[52153  2601 27110 39763 34485 46174],4,3,False,0.0,0.0,0.0,0.0
17,18,0,[23058 37080  2751 11436 29903  3835],2,3,False,0.0,0.0,0.0,0.0
18,19,0,[22003 32689 16501 37816 24108 44913],14,2,False,0.0,0.0,0.0,0.0
19,20,0,[21657  9053 40537 50410 31301 49037],10,2,False,0.0,0.0,0.0,0.0
20,21,0,[ 8205  5184 50902 11163 40762 19995],46,0,False,0.0,0.0,0.0,0.0
21,22,0,[ 8167 22041 36851 18232 33574  9157],0,1,True,3.9318137168884277,1.7917598485946655,3.961555242538452,1.7917838096618652
22,23,0,[11693 23389  2223 46585 15044 30336],37,3,False,0.0,0.0,0.0,0.0
23,24,0,[37613 47392 45346 30478  5016 31293],35,2,True,3.9529526233673096,1.7916449308395386,3.9934372901916504,1.7918213605880737
24,25,0,[ 3016 40514  1254 42080 31555 38300],38,2,False,0.0,0.0,0.0,0.0
25,26,0,[ 4872 24914 15726  3044 28098 18778],31,0,False,0.0,0.0,0.0,0.0
26,27,0,[ 7869 24093 20468 20267 29291 47567],6,4,False,0.0,0.0,0.0,0.0
27,28,0,[43707 23434 14073 38088 42021 51597],46,1,False,0.0,0.0,0.0,0.0
28,29,0,[24690 23105 49985 49796 33063 44103],30,4,True,4.005850791931152,1.7916549444198608,4.075863838195801,1.7921537160873413
29,30,0,[22555 36896 52345 15743 36460 23795],43,0,False,0.0,0.0,0.0,0.0
0,31,1,[50352 19873 17987 23739 44909 48947],47,1,False,0.0,0.0,0.0,0.0
1,32,1,[25444  8329 34002  1592 44119 23890],2,3,False,0.0,0.0,0.0,0.0
